4
50
9.55	-4.37	3.09	1.52
8.72	-5.7	-0.8	3.23
5.9	-5.41	1.81	1.68
7.58	-4.31	1.34	-0.27
7.24	-5.81	1.3	2.85
6.51	-4.84	1.24	1.98
6.74	-3.85	-0.84	1.06
7.05	-4.49	1.35	1.4
3.49	-4.89	1.13	2.26
5.26	-3.48	-0.1	0.74
3.76	-2.13	0.71	-0.32
2.05	-3.74	3.44	0.81
2.68	-0.15	2.7	-0.8
2.19	-1.87	0.4	-0.89
3.67	-1.95	1.98	-1.09
2.44	-2.13	2.17	-0.69
2.07	-1.44	2.35	-0.96
1.93	-1.16	2.31	-1.73
1.93	-1.34	3.77	-2.54
4.79	-1.34	1.22	1.02
-0.86	-0.69	3.17	0.05
0.28	-1.58	2.22	-0.98
-0.8	-1.29	2.44	-0.28
0.4	-0.7	0.42	-0.53
-0.36	-0.99	2.27	-1.17
0.2	-2.62	2.8	-2.45
0.49	-2.57	1.69	-2.05
0.24	-0.78	2.89	-2.52
-0.73	-1.81	2.61	-2.43
-0.03	-1.65	2.67	-2.1
0.42	-1.55	1.42	-0.66
0.64	-1.22	-0.3	-2.76
-0.52	-2.03	0.99	-0.62
-0.09	-1.69	1.36	-0.66
0.44	-0.72	0.89	-2.34
-1.02	-0.71	1.26	1.25
-2.61	0.47	0.28	-3.19
-1.48	-0.47	0.66	-0.7
-1.68	-0.43	3.36	-2.21
-1.63	-0.06	1.98	-2.34
-2.79	-1.34	-0.04	-2.74
-1.91	-1.07	1.73	-0.07
-2.14	0.42	1.4	-1.56
-2.44	0.45	0.94	-1.47
-2.43	-0.32	1.8	-2.16
-3.04	1.14	1.44	-2.2
-2.54	-0.15	-1.38	-0.77
-2.27	-1.31	1.16	-1.02
-1.03	-0.79	-1.03	-1.43
-2.58	1.88	1.6	-1.52
