1	1390	1400
1	1750	1055
1	1915	1010
1	2155	935
1	2725	1010
1	2890	1145
1	3115	1250
1	3280	1625
1	1345	1610
1	1525	1370
1	1615	1265
1	1705	1175
1	1810	1130
1	2170	1025
1	2260	1010
1	2410	1025
1	2530	1040
1	2695	1085
1	2830	1175
1	2935	1295
1	3025	1400
2	2670	2145
2	2940	2310
2	3195	2355
2	3615	2355
2	3795	2280
2	3930	2175
2	4080	2055
2	4140	1890
2	4230	1710
2	2685	1785
2	2865	1965
2	3165	2070
2	3480	2130
2	3690	2025
2	3810	1935
2	4065	1650
2	4050	1905
2	3960	2055
2	3450	2280
2	3150	2250
2	2790	2085
2	2980	1600
1	1255	1580
1	1480	1250
1	1615	1130
1	2455	935
1	3220	1475
1	1435	1520
1	2005	1070
1	3115	1535
1	3190	1700
1	3190	1730
2	2430	1725
2	2520	1920
2	3420	2370
2	4260	1605
2	3975	1770
2	3870	2160
2	3555	2295
2	3075	2205
2	2670	1890
2	2565	1755
2	2595	1635
