1	3.25E+00	4.43E+00
1	4.51E+00	4.20E+00
1	2.17E+00	4.42E+00
1	3.72E+00	5.25E+00
1	2.83E+00	4.32E+00
1	2.29E+00	5.36E+00
1	2.42E+00	6.97E+00
1	2.26E+00	5.58E+00
1	2.64E+00	3.93E+00
1	2.52E+00	6.26E+00
1	1.95E-01	6.50E+00
1	1.83E+00	4.72E+00
1	4.25E+00	5.50E+00
1	1.93E+00	6.03E+00
1	2.42E+00	3.50E+00
1	3.24E+00	2.66E+00
1	3.83E+00	5.26E+00
1	2.12E+00	4.48E+00
1	1.89E+00	5.23E+00
1	1.00E+00	5.32E+00
1	2.34E+00	4.05E+00
1	4.14E+00	6.45E+00
1	1.79E+00	4.57E+00
1	6.11E+00	5.10E+00
1	2.95E+00	6.15E+00
1	2.88E+00	6.09E+00
1	2.69E+00	5.13E+00
1	3.17E+00	4.26E+00
1	3.92E+00	4.63E+00
1	2.16E+00	3.80E+00
1	4.28E+00	4.53E+00
1	1.40E+00	4.71E+00
1	4.60E+00	4.69E+00
1	4.37E+00	4.43E+00
1	5.14E+00	4.93E+00
1	3.45E+00	3.96E+00
1	3.29E+00	4.73E+00
1	3.65E+00	3.94E+00
1	2.87E+00	4.25E+00
1	2.56E+00	4.99E+00
1	2.20E+00	5.28E+00
1	1.48E+00	4.85E+00
1	2.29E+00	5.38E+00
1	3.27E+00	4.00E+00
1	2.50E+00	2.63E+00
1	4.47E+00	4.68E+00
1	1.32E+00	5.47E+00
1	3.49E+00	5.57E+00
1	4.65E+00	5.14E+00
1	1.73E+00	4.90E+00
1	2.06E+00	4.50E+00
1	2.49E+00	3.86E+00
1	3.21E+00	6.34E+00
1	1.62E+00	6.40E+00
1	4.38E+00	5.83E+00
1	4.18E+00	5.07E+00
1	1.57E+00	4.66E+00
1	3.46E+00	5.02E+00
1	1.91E+00	6.70E+00
1	2.15E+00	4.73E+00
1	2.48E+00	4.94E+00
1	1.96E+00	3.20E+00
1	3.20E+00	5.36E+00
1	2.47E+00	5.38E+00
1	3.61E+00	5.35E+00
